share_files_nums,share_files_rate,only_commit_files_nums,exist_cve,insert_loc_nums,delete_loc_nums,all_loc_nums,all_method_nums,commit_msg,cve_desc,commit_id,is_right
1,1,0,0,1,0,1,1,https://github.com/ImageMagick/ImageMagick/issues/131,Heap-based buffer overflow in the CalcMinMax function in coders/mat.c in ImageMagick before 6.9.4-0 allows remote attackers to cause a denial of service (out-of-bounds read and application crash) via a crafted mat file.,a6240a163cb787909703d9fc649cf861f60ddd7c,1
1,1,0,0,1,1,2,1,https://github.com/ImageMagick/ImageMagick/issues/131,coders/mat.c in ImageMagick before 6.9.4-0 allows remote attackers to cause a denial of service (out-of-bounds read and application crash) via a crafted mat file.,1bc1fd0ff8c555841c78829217ac81fa0598255d,1
0,0,1,0,19,14,33,1,https://github.com/ImageMagick/ImageMagick/issues/196,"The ConcatenateImages function in MagickWand/magick-cli.c in ImageMagick before 7.0.1-10 does not check the return value of the fputc function, which allows remote attackers to cause a denial of service (application crash) via a crafted file.",933e96f01a8c889c7bf5ffd30020e86a02a046e7,1
1,1,0,0,5,1,6,1,https://github.com/ImageMagick/ImageMagick/issues/196,"The ReadGROUP4Image function in coders/tiff.c in ImageMagick before 7.0.1-10 does not check the return value of the fputc function, which allows remote attackers to cause a denial of service (crash) via a crafted image file.",4e914bbe371433f0590cefdf3bd5f3a5710069f9,1
1,1,0,0,3,3,6,1,...,"Buffer overflow in coders/tiff.c in ImageMagick before 6.9.5-1 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file, related to extend validity.",94936efda8aa63563211eda07a5ade92abb32f7a,1
1,1,0,0,7,8,15,1,Improve buffer overflow sanity check,Buffer overflow in coders/tiff.c in ImageMagick before 6.9.5-1 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file.,63302366a63602acbaad5c8223a105811b2adddd,1
1,0.33,2,0,30,4,34,3,https://github.com/ImageMagick/ImageMagick/issues/129,The ReadVIFFImage function in coders/viff.c in ImageMagick before 7.0.1-0 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file.,134463b926fa965571aa4febd61b810be5e7da05,1
0,0,8,0,105,82,187,10,Suspend exception processing if too many exceptions,Buffer overflow in the ReadVIFFImage function in coders/viff.c in ImageMagick before 6.9.4-5 allows remote attackers to cause a denial of service (application crash) via a crafted file.,e45e48b881038487d0bc94d92a16c1537616cc0a,1
1,0.5,1,0,7,3,10,1,RLE check for pixel offset less than 0 (heap overflow report from Craig Young),Heap-based buffer overflow in the ReadRLEImage function in coders/rle.c in ImageMagick 6.9.4-8 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted RLE file.,139d4323c40d7363bfdd2382c3821a6f76d69430,1
1,0.5,1,0,3,2,5,1,Prevent memory use after free,Use-after-free vulnerability in the ReadPWPImage function in coders/pwp.c in ImageMagick 6.9.5-5 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file.,548701354191a3dda5cffc6d415374b35b01d0b9,1
0,0,2,0,14,5,19,3,Changed the JPEG writer to raise a warning when the exif profile exceeds 65533 bytes and truncate it.,Buffer overflow in the WriteProfile function in coders/jpeg.c in ImageMagick before 6.9.5-6 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file.,13267a10845a8dadabed63072b537f050cec6daa,1
1,0.5,1,0,5,3,8,1,Fix TIFF divide by zero (bug report from Donghai Zhu),The WriteTIFFImage function in coders/tiff.c in ImageMagick before 6.9.5-8 allows remote attackers to cause a denial of service (divide-by-zero error and application crash) via a crafted file.,728dc6a600cf4cbdac846964c85cc04339db8ac1,1
0,0,5,0,24,20,44,4,"Prevent buffer overflow in SIXEL, PDB, MAP, and CALS coders (bug report from Donghai Zhu)",Buffer overflow in the WriteMAPImage function in coders/map.c in ImageMagick before 6.9.5-8 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file.,eedd0c35bb2d8af7aa05f215689fdebd11633fa1,1
0,0,5,0,24,20,44,4,"Prevent buffer overflow in SIXEL, PDB, MAP, and CALS coders (bug report from Donghai Zhu)",Buffer overflow in the WritePDBImage function in coders/pdb.c in ImageMagick before 6.9.5-8 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file.,eedd0c35bb2d8af7aa05f215689fdebd11633fa1,1
0,0,5,0,24,20,44,4,"Prevent buffer overflow in SIXEL, PDB, MAP, and CALS coders (bug report from Donghai Zhu)",Buffer overflow in the sixel_decode function in coders/sixel.c in ImageMagick before 6.9.5-8 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file.,eedd0c35bb2d8af7aa05f215689fdebd11633fa1,1
1,0.2,4,0,24,20,44,4,"Prevent buffer overflow in SIXEL, PDB, MAP, and CALS coders (bug report from Donghai Zhu)",Buffer overflow in the WriteGROUP4Image function in coders/tiff.c in ImageMagick before 6.9.5-8 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file.,eedd0c35bb2d8af7aa05f215689fdebd11633fa1,1
1,1,0,0,2,0,2,1,Fixed memory leak.,Memory leak in the ReadPSDLayers function in coders/psd.c in ImageMagick before 6.9.6-3 allows remote attackers to cause a denial of service (memory consumption) via a crafted image file.,47e8e6ceef979327614d0b8f0c76c6ecb18e09cf,1
1,1,0,0,3,2,5,1,https://www.imagemagick.org/discourse-server/viewtopic.php?f=3&t=29710,Buffer overflow in the ReadRLEImage function in coders/rle.c in ImageMagick before 6.9.4-4 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted RLE file.,13db820f5e24cd993ee554e99377fea02a904e18,1
